Region,Country,City,Month,Day,Year,AvgTemperature
Africa,Algeria,Algiers,1,1,2020,46.3
Africa,Algeria,Algiers,1,2,2020,45.4
Africa,Algeria,Algiers,1,3,2020,48
Africa,Algeria,Algiers,1,4,2020,53.4
Africa,Algeria,Algiers,1,5,2020,47.3
Africa,Algeria,Algiers,1,6,2020,45.9
Africa,Algeria,Algiers,1,7,2020,47
Africa,Algeria,Algiers,1,8,2020,53.2
Africa,Algeria,Algiers,1,9,2020,52.9
Africa,Algeria,Algiers,1,10,2020,52.4
Africa,Algeria,Algiers,1,11,2020,49.7
Africa,Algeria,Algiers,1,12,2020,49.8
Africa,Algeria,Algiers,1,13,2020,50.6
Africa,Algeria,Algiers,1,14,2020,46.7
Africa,Algeria,Algiers,1,15,2020,45.7
Africa,Algeria,Algiers,1,16,2020,46.6
Africa,Algeria,Algiers,1,17,2020,48.7
Africa,Algeria,Algiers,1,18,2020,50.1
Africa,Algeria,Algiers,1,19,2020,53.5
Africa,Algeria,Algiers,1,20,2020,54.3
Africa,Algeria,Algiers,1,21,2020,59.3
Africa,Algeria,Algiers,1,22,2020,59.2
Africa,Algeria,Algiers,1,23,2020,53.4
Africa,Algeria,Algiers,1,24,2020,49.8
Africa,Algeria,Algiers,1,25,2020,56.6
Africa,Algeria,Algiers,1,26,2020,54.1
Africa,Algeria,Algiers,1,27,2020,53.7
Africa,Algeria,Algiers,1,28,2020,52.7
Africa,Algeria,Algiers,1,29,2020,55
Africa,Algeria,Algiers,1,30,2020,52.4
Africa,Algeria,Algiers,1,31,2020,54.5
Africa,Algeria,Algiers,2,1,2020,55.5
Africa,Algeria,Algiers,2,2,2020,57.1
Africa,Algeria,Algiers,2,3,2020,56.5
Africa,Algeria,Algiers,2,4,2020,59.8
Africa,Algeria,Algiers,2,5,2020,54
Africa,Algeria,Algiers,2,6,2020,48.1
Africa,Algeria,Algiers,2,7,2020,51
Africa,Algeria,Algiers,2,8,2020,56.9
Africa,Algeria,Algiers,2,9,2020,55.8
Africa,Algeria,Algiers,2,10,2020,55.7
Africa,Algeria,Algiers,2,11,2020,55.4
Africa,Algeria,Algiers,2,12,2020,53.9
Africa,Algeria,Algiers,2,13,2020,56.7
Africa,Algeria,Algiers,2,14,2020,56
Africa,Algeria,Algiers,2,15,2020,54.7
Africa,Algeria,Algiers,2,16,2020,58.5
Africa,Algeria,Algiers,2,17,2020,55
Africa,Algeria,Algiers,2,18,2020,58.7
Africa,Algeria,Algiers,2,19,2020,56.8
Africa,Algeria,Algiers,2,20,2020,51
Africa,Algeria,Algiers,2,21,2020,51.8
Africa,Algeria,Algiers,2,22,2020,50.9
Africa,Algeria,Algiers,2,23,2020,51.7
Africa,Algeria,Algiers,2,24,2020,53
Africa,Algeria,Algiers,2,25,2020,58
Africa,Algeria,Algiers,2,26,2020,57.8
Africa,Algeria,Algiers,2,27,2020,57.4
Africa,Algeria,Algiers,2,28,2020,57.6
Africa,Algeria,Algiers,2,29,2020,59.5
Africa,Algeria,Algiers,3,1,2020,60.5
Africa,Algeria,Algiers,3,2,2020,61.8
Africa,Algeria,Algiers,3,3,2020,58.4
Africa,Algeria,Algiers,3,4,2020,63.7
Africa,Algeria,Algiers,3,5,2020,59.6
Africa,Algeria,Algiers,3,6,2020,61.3
Africa,Algeria,Algiers,3,7,2020,55.7
Africa,Algeria,Algiers,3,8,2020,53.1
Africa,Algeria,Algiers,3,9,2020,55.8
Africa,Algeria,Algiers,3,10,2020,56.1
Africa,Algeria,Algiers,3,11,2020,57.7
Africa,Algeria,Algiers,3,12,2020,63.7
Africa,Algeria,Algiers,3,13,2020,66.1
Africa,Algeria,Algiers,3,14,2020,60.6
Africa,Algeria,Algiers,3,15,2020,58.6
Africa,Algeria,Algiers,3,16,2020,61.6
Africa,Algeria,Algiers,3,17,2020,60.3
Africa,Algeria,Algiers,3,18,2020,61.6
Africa,Algeria,Algiers,3,19,2020,61.8
Africa,Algeria,Algiers,3,20,2020,60.9
Africa,Algeria,Algiers,3,21,2020,60.8
Africa,Algeria,Algiers,3,22,2020,59.2
Africa,Algeria,Algiers,3,23,2020,58.6
Africa,Algeria,Algiers,3,24,2020,59
Africa,Algeria,Algiers,3,25,2020,53.2
Africa,Algeria,Algiers,3,26,2020,51.2
Africa,Algeria,Algiers,3,27,2020,54.9
Africa,Algeria,Algiers,3,28,2020,53.7
Africa,Algeria,Algiers,3,29,2020,54.9
Africa,Algeria,Algiers,3,30,2020,56.7
Africa,Algeria,Algiers,3,31,2020,68
Africa,Algeria,Algiers,4,1,2020,60.9
Africa,Algeria,Algiers,4,2,2020,58.4
Africa,Algeria,Algiers,4,3,2020,55.6
Africa,Algeria,Algiers,4,4,2020,57.2
Africa,Algeria,Algiers,4,5,2020,56.5
Africa,Algeria,Algiers,4,6,2020,58.2
Africa,Algeria,Algiers,4,7,2020,57.7
Africa,Algeria,Algiers,4,8,2020,58
Africa,Algeria,Algiers,4,9,2020,60.2
Africa,Algeria,Algiers,4,10,2020,59.9
Africa,Algeria,Algiers,4,11,2020,60.9
Africa,Algeria,Algiers,4,12,2020,65.9
Africa,Algeria,Algiers,4,13,2020,69.2
Africa,Algeria,Algiers,4,14,2020,62.3
Africa,Algeria,Algiers,4,15,2020,65.2
Africa,Algeria,Algiers,4,16,2020,64
Africa,Algeria,Algiers,4,17,2020,66.2
Africa,Algeria,Algiers,4,18,2020,71.1
Africa,Algeria,Algiers,4,19,2020,65.3
Africa,Algeria,Algiers,4,20,2020,64
Africa,Algeria,Algiers,4,21,2020,61.8
Africa,Algeria,Algiers,4,22,2020,58.5
Africa,Algeria,Algiers,4,23,2020,59.5
Africa,Algeria,Algiers,4,24,2020,60.7
Africa,Algeria,Algiers,4,25,2020,65.2
Africa,Algeria,Algiers,4,26,2020,62.8
Africa,Algeria,Algiers,4,27,2020,62.7
Africa,Algeria,Algiers,4,28,2020,64
Africa,Algeria,Algiers,4,29,2020,63.3
Africa,Algeria,Algiers,4,30,2020,64.5
Africa,Algeria,Algiers,5,1,2020,65.4
Africa,Algeria,Algiers,5,2,2020,67.9
Africa,Algeria,Algiers,5,3,2020,71.3
Africa,Algeria,Algiers,5,4,2020,72.7
Africa,Algeria,Algiers,5,5,2020,72.5
Africa,Algeria,Algiers,5,6,2020,68.9
Africa,Algeria,Algiers,5,7,2020,68.9
Africa,Algeria,Algiers,5,8,2020,69.8
Africa,Algeria,Algiers,5,9,2020,70.8
Africa,Algeria,Algiers,5,10,2020,67.1
Africa,Algeria,Algiers,5,11,2020,68.9
Africa,Algeria,Algiers,5,12,2020,69.8
Africa,Algeria,Algiers,5,13,2020,60.8
Africa,Benin,Cotonou,1,1,2020,81.8
Africa,Benin,Cotonou,1,2,2020,79.6
Africa,Benin,Cotonou,1,3,2020,77.1
Africa,Benin,Cotonou,1,4,2020,76
Africa,Benin,Cotonou,1,5,2020,77.8
Africa,Benin,Cotonou,1,6,2020,80.2
Africa,Benin,Cotonou,1,7,2020,81.1
Africa,Benin,Cotonou,1,8,2020,81.7
Africa,Benin,Cotonou,1,9,2020,83.3
Africa,Benin,Cotonou,1,10,2020,83.8
Africa,Benin,Cotonou,1,11,2020,82.7
Africa,Benin,Cotonou,1,12,2020,84.3
Africa,Benin,Cotonou,1,13,2020,84.6
Africa,Benin,Cotonou,1,14,2020,84.6
Africa,Benin,Cotonou,1,15,2020,83.8
Africa,Benin,Cotonou,1,16,2020,84.2
Africa,Benin,Cotonou,1,17,2020,84.4
Africa,Benin,Cotonou,1,18,2020,84.3
Africa,Benin,Cotonou,1,19,2020,83.6
Africa,Benin,Cotonou,1,20,2020,83
Africa,Benin,Cotonou,1,21,2020,83.7
Africa,Benin,Cotonou,1,22,2020,83.5
Africa,Benin,Cotonou,1,23,2020,84.3
Africa,Benin,Cotonou,1,24,2020,83
Africa,Benin,Cotonou,1,25,2020,80.9
Africa,Benin,Cotonou,1,26,2020,79.5
Africa,Benin,Cotonou,1,27,2020,79.5
Africa,Benin,Cotonou,1,28,2020,80.4
Africa,Benin,Cotonou,1,29,2020,81.6
Africa,Benin,Cotonou,1,30,2020,83
Africa,Benin,Cotonou,1,31,2020,83.6
Africa,Benin,Cotonou,2,1,2020,84.1
Africa,Benin,Cotonou,2,2,2020,84
Africa,Benin,Cotonou,2,3,2020,82.5
Africa,Benin,Cotonou,2,4,2020,81.3
Africa,Benin,Cotonou,2,5,2020,83.4
Africa,Benin,Cotonou,2,6,2020,84.3
Africa,Benin,Cotonou,2,7,2020,85.2
Africa,Benin,Cotonou,2,8,2020,83
Africa,Benin,Cotonou,2,9,2020,83
Africa,Benin,Cotonou,2,10,2020,84
Africa,Benin,Cotonou,2,11,2020,85
Africa,Benin,Cotonou,2,12,2020,83.8
